frases_sem_erro,Frase_com_Erro
novas tecnologias,nova tecnologias
a produtividade,as produtividade
áreas afetadas,área afetadas
esse problema,esses problema
esses problemas,esse problemas
"os trabalhadores, o trabalhor",os trabalhador
"os trabalhadores, o trabalhor",o trabalhadores
mais pessoas,mais pessoa
todos tenham,todos tenha
todos viram,todos viu
as populações,as população
as pessoas,os pessoa
como ficam as pessoas,como fica as pessoas
esses serviços,esses serviço
com as próprias,com as própria
vemos as mudanças,vemos as mudança
são máquinas,é máquinas
tarefas repetitivas,tarefas repetitiva
o mercado está,o mercado estão
essas crianças,esse criança
"são substituídas, é substituída",são substituída
"são substituídas, é substituída",é substituídas
mudanças ocorridas,mudanças ocorrida
"o ser humano, os seres humanos",ser humanos
"o ser humano, os seres humanos",seres humano
três anos,três ano
os cidadãos,as cidadão
essas tecnologias,esse tecnologias 
as jovens,as jovem
o progresso ,as progresso
progresso foi,progresso foram
"governos devem, governo deve",governos deve
"governos devem, governo deve",governo devem
"governo investiu, governos envestirem",governo investiram  
"governo investiu, governos envestirem",governos investir
problemas sociais  ,problema sociais  
oportunidades iguais,oportunidades igual
oportunidades iguais,oportunidade iguais
trabalhadores lutam  ,trabalhador lutam  
meninas correram  ,meninas correu  
"exigem reflexões, exige reflexão",exige reflexões
essas soluções,essas solução
são desafios,é um desafios
são desafios,são desafio
elas sirvam,elas sirva
"estudantes responderam , estudante respondeu",estudante responderam
humanas coexistiam,humana coexistam
habilidades sociais,habilidades social
isso é essencial,isso e essencial
as cidades cresceram  ,as cidade cresceu
os rapazes saíram  ,os rapaz saiu
as matérias  ,as matéria
as pessoas chegaram ; as pessoas chegam,pessoas chegou
"os alunos respondem, os alunos responderam",os aluno responde
as crianças,as criança
criança brinca,criança brincam
os meninos foram  ,os menino foi
os amigos  ,os amigo
a gente foi  ,a gente fomos
as pessoas acharam  ,as pessoa achou
os cachorros correram  ,os cachorro correu
os colegas  ,os colega
os livros  ,os livro
as moças  ,as moça
as roupas  ,os roupas
apartamento reformado  ,apartamento reformada
ela está cansada  ,ela está cansado
"um grande , uns grandes",um grandes
"um grande , uns grandes",uns grande
os meninos  ,os menino
o pai e a mãe tentam,o pai e a mãe tenta
eles tentam,eles tenta
aquele fato  ,aquela fato
a gente está  ,a gente estamos
os carros  ,os carro
eles gostam  ,eles gosta
